N_unmapped	448657	448657	448657
N_multimapping	4800656	4800656	4800656
N_noFeature	2473013	23004640	2757936
N_ambiguous	1348914	27571	547211
ENSG00000223972	0	0	0
ENSG00000227232	5	0	5
ENSG00000243485	0	0	0
ENSG00000237613	0	0	0
ENSG00000268020	0	0	0
ENSG00000240361	0	0	0
ENSG00000186092	0	0	0
ENSG00000238009	1	0	1
ENSG00000239945	0	0	0
ENSG00000233750	0	0	0
ENSG00000237683	18	0	18
ENSG00000268903	0	0	0
ENSG00000269981	0	0	0
ENSG00000239906	0	0	0
ENSG00000241860	5	0	5
ENSG00000222623	0	0	0
ENSG00000241599	0	0	0
ENSG00000228463	0	0	0
ENSG00000241670	0	0	0
ENSG00000237094	0	0	0
ENSG00000250575	0	0	0
ENSG00000233653	0	0	0
ENSG00000224813	0	0	0
ENSG00000235249	0	0	0
ENSG00000269732	0	0	0
ENSG00000256186	0	0	0
ENSG00000236601	0	0	0
ENSG00000236743	0	0	0
ENSG00000236679	0	0	0
ENSG00000231709	0	0	0
ENSG00000235146	0	0	0
ENSG00000239664	0	0	0
ENSG00000230021	0	0	0
ENSG00000223659	0	0	0
ENSG00000225972	10	1	9
ENSG00000225630	31	4	27
ENSG00000237973	1020	16	1004
ENSG00000229344	25	0	25
ENSG00000240409	5	0	5
ENSG00000248527	31	5	26
ENSG00000198744	9329	446	8883
ENSG00000268663	0	0	0
ENSG00000185097	0	0	0
ENSG00000229376	0	0	0
ENSG00000224956	7	0	7
ENSG00000235373	1	0	1
ENSG00000223181	0	0	0
ENSG00000240618	0	0	0
ENSG00000229905	0	0	0
ENSG00000228327	0	0	0
ENSG00000237491	11	2	9
ENSG00000230092	0	0	0
ENSG00000269831	0	0	0
ENSG00000240453	0	0	0
ENSG00000177757	5	5	0
ENSG00000225880	10	0	10
ENSG00000228794	89	0	89
ENSG00000230368	0	0	0
ENSG00000234711	1	0	1
ENSG00000269308	0	0	0
ENSG00000272438	1	0	1
ENSG00000230699	9	0	9
ENSG00000241180	0	0	0
ENSG00000223764	13	3	10
ENSG00000187634	14	498	14
ENSG00000268179	0	0	0
ENSG00000188976	1950	9	2439
ENSG00000187961	303	3	300
ENSG00000187583	133	0	154
ENSG00000187642	46	67	0
ENSG00000272512	4	0	4
ENSG00000188290	179	2	177
ENSG00000231702	0	0	0
ENSG00000224969	2	2	0
ENSG00000187608	120	0	120
ENSG00000188157	6230	28	6202
ENSG00000242590	0	0	0
ENSG00000217801	42	32	11
ENSG00000273443	3	4	0
ENSG00000237330	84	0	84
ENSG00000131591	507	2	505
ENSG00000223823	29	1	28
ENSG00000207730	9	0	9
ENSG00000207607	28	0	28
ENSG00000198976	41	0	41
ENSG00000272141	493	0	493
ENSG00000205231	3	4	1
ENSG00000162571	2	0	4
ENSG00000186891	1	0	1
ENSG00000186827	0	0	0
ENSG00000078808	3873	18	3855
ENSG00000176022	489	5	484
ENSG00000184163	119	1	118
ENSG00000260179	4	0	4
ENSG00000160087	1019	2	1017
ENSG00000230415	13	0	13
ENSG00000162572	31	0	31
ENSG00000131584	1449	52	1448
ENSG00000169972	248	81	333
ENSG00000127054	1971	109	1977
ENSG00000240731	34	11	23
ENSG00000224051	490	2	488
ENSG00000169962	4	26	1
ENSG00000107404	2724	13	2734
ENSG00000162576	211	202	9
ENSG00000175756	2176	7	2169
ENSG00000223663	2	0	2
ENSG00000221978	4518	11	4507
ENSG00000224870	218	385	236
ENSG00000242485	1032	36	1399
ENSG00000264293	0	0	0
ENSG00000272455	53	0	53
ENSG00000235098	1	0	1
ENSG00000225905	0	0	0
ENSG00000205116	2	0	2
ENSG00000225285	30	2	28
ENSG00000179403	1161	3	1158
ENSG00000215915	3	0	3
ENSG00000160072	796	2	794
ENSG00000197785	716	3	713
ENSG00000205090	0	0	0
ENSG00000160075	2141	22	2119
ENSG00000215791	0	0	0
ENSG00000215014	2	0	2
ENSG00000236684	0	0	0
ENSG00000228594	195	1	194
ENSG00000272106	54	2	59
ENSG00000197530	830	14	824
ENSG00000189409	0	0	0
ENSG00000248333	713	7	706
ENSG00000272004	0	104	0
ENSG00000189339	1312	7	1409
ENSG00000269737	54	54	0
ENSG00000269227	14	14	0
ENSG00000215914	0	0	0
ENSG00000008128	150	0	150
ENSG00000268575	58	3	80
ENSG00000227775	98	123	0
ENSG00000215790	38	0	38
ENSG00000008130	1394	4	1390
ENSG00000078369	10125	45	10081
ENSG00000231050	0	0	0
ENSG00000169885	3	0	3
ENSG00000178821	123	0	123
ENSG00000142609	12	2	10
ENSG00000233542	0	0	0
ENSG00000187730	1	0	1
ENSG00000226969	1	1	0
ENSG00000067606	735	29	1261
ENSG00000271806	10	109	0
ENSG00000182873	139	138	1
ENSG00000162585	805	466	891
ENSG00000269554	0	94	2
ENSG00000203301	4	1	3
ENSG00000243558	0	0	0
ENSG00000234396	0	0	0
ENSG00000157933	809	3	806
ENSG00000116151	58	0	95
ENSG00000272161	0	0	0
ENSG00000269753	0	0	0
ENSG00000269896	33	0	33
ENSG00000238240	0	0	0
ENSG00000272420	8	0	8
ENSG00000271921	7	0	7
ENSG00000271847	2	0	2
ENSG00000178642	0	37	0
ENSG00000157916	2706	276	2976
ENSG00000157911	283	315	514
ENSG00000149527	246	1	245
ENSG00000224387	0	0	0
ENSG00000229393	0	0	0
ENSG00000157881	460	0	460
ENSG00000197921	2	0	2
ENSG00000272449	41	0	41
ENSG00000238164	467	235	574
ENSG00000157873	2609	121	2830
ENSG00000225931	13	0	13
ENSG00000228037	9	0	9
ENSG00000157870	1745	50	2188
ENSG00000142606	47	450	90
ENSG00000237058	0	1	0
ENSG00000215912	16	0	17
ENSG00000233234	0	0	0
ENSG00000231630	0	0	0
ENSG00000169717	0	0	0
ENSG00000177133	671	5	666
ENSG00000256761	0	0	0
ENSG00000142611	1188	5	1183
ENSG00000226286	2	2	0
ENSG00000272235	36	0	36
ENSG00000130762	1937	12	1925
ENSG00000272088	1	0	1
ENSG00000162591	277	2	275
